# The phyletic profiles are given as one OMA Group per row, starting
# with a group identifier, followed by a presents/absents indicator
# (i.e. 0 := absent, 1: present) per species in the group as columns.
# The first row contains the species for each column.
Group	Bovismorbificans_CVM_30176	ECOLI	SALTY
OMA00117	1	1	1
OMA00118	1	1	1
OMA00119	1	1	1
OMA00120	1	1	1
OMA00121	1	1	0
OMA00122	1	1	1
OMA00123	1	1	1
OMA00124	1	0	1
OMA00125	1	1	1
OMA00126	1	0	1
OMA00127	1	1	1
OMA00128	1	1	1
OMA00129	1	1	1
OMA00130	1	1	1
OMA00131	1	1	1
OMA00132	1	1	1
OMA00133	1	1	1
OMA00134	1	1	1
OMA00135	1	1	1
OMA00136	1	0	1
OMA00137	1	0	1
OMA00138	1	1	1
OMA00139	1	0	1
OMA00140	1	1	1
OMA00141	1	0	1
OMA00142	1	1	1
OMA00143	1	1	1
OMA00144	1	1	1
OMA00145	1	1	1
OMA00146	1	1	1
OMA00147	1	1	1
OMA00148	1	1	1
OMA00149	1	1	1
OMA00150	1	1	1
OMA00151	1	1	1
OMA00152	1	1	1
OMA00153	1	0	1
OMA00154	1	1	1
OMA00155	1	1	1
OMA00156	1	0	1
OMA00157	1	1	1
OMA00158	1	1	1
OMA00159	1	1	1
OMA00160	1	1	1
OMA00161	1	1	1
OMA00162	1	1	1
OMA00163	1	1	1
OMA00164	1	1	1
OMA00165	1	1	1
OMA00166	1	1	1
OMA00167	1	1	1
OMA00168	1	1	1
OMA00169	1	1	1
OMA00170	1	0	1
OMA00171	1	1	1
OMA00172	1	1	1
OMA00173	1	1	1
OMA00174	1	0	1
OMA00175	1	1	1
OMA00176	1	1	1
OMA00177	1	1	1
OMA00178	1	1	1
OMA00179	1	1	1
OMA00180	1	1	1
OMA00181	1	1	1
OMA00182	1	0	1
OMA00183	1	1	1
OMA00184	1	1	1
OMA00185	1	1	1
OMA00186	1	1	1
OMA00187	1	1	1
OMA00188	1	1	1
OMA00189	1	0	1
OMA00190	1	1	1
OMA00191	1	1	1
OMA00192	1	1	1
OMA00193	1	1	1
OMA00194	1	1	1
OMA00195	1	0	1
OMA00196	1	1	1
OMA00197	1	1	1
OMA00198	1	1	1
OMA00199	1	1	1
OMA00200	1	1	1
OMA00201	1	0	1
OMA00202	1	1	1
OMA00203	1	1	1
OMA00204	1	1	1
OMA00205	1	1	1
OMA00206	1	1	1
OMA00207	1	0	1
OMA00208	1	1	1
OMA00209	1	0	1
OMA00210	1	0	1
OMA00211	1	1	1
OMA00212	1	0	1
OMA00213	1	0	1
OMA00214	1	1	1
OMA00215	1	1	1
OMA00216	1	1	1
OMA00217	1	1	1
OMA00218	1	1	1
OMA00219	1	0	1
OMA00220	1	1	1
OMA00221	1	1	1
OMA00222	1	1	1
OMA00223	1	1	1
OMA00224	1	1	1
OMA00225	1	1	1
OMA00226	1	1	1
OMA00227	1	1	1
OMA00228	1	1	1
OMA00229	1	0	1
OMA00230	1	0	1
OMA00231	1	0	1
OMA00232	1	1	1
OMA00233	1	1	1
OMA00234	1	1	1
OMA00235	1	1	1
OMA00236	1	1	1
OMA00237	1	1	1
OMA00238	1	1	1
OMA00239	1	1	1
OMA00240	1	1	1
OMA00241	1	1	1
OMA00242	1	0	1
OMA00243	1	1	1
OMA00244	1	1	1
OMA00245	1	1	1
OMA00246	1	1	1
OMA00247	1	1	1
OMA00248	1	1	1
OMA00249	1	1	1
OMA00250	1	1	1
OMA00251	1	1	1
OMA00252	1	0	1
OMA00253	1	1	1
OMA00254	1	1	1
OMA00255	1	0	1
OMA00256	1	1	1
OMA00257	1	1	1
OMA00258	1	1	1
OMA00259	1	1	1
OMA00260	1	1	1
OMA00261	1	1	1
OMA00262	1	1	1
OMA00263	1	1	1
OMA00264	1	1	1
OMA00265	1	1	1
OMA00266	1	1	1
OMA00267	1	1	1
OMA00268	1	1	1
OMA00269	1	0	1
OMA00270	1	0	1
OMA00271	1	0	1
OMA00272	1	1	1
OMA00273	1	0	1
OMA00274	0	1	1
OMA00275	1	1	1
OMA00276	1	1	1
OMA00277	1	1	1
OMA00278	1	1	1
OMA00279	1	1	1
OMA00280	1	1	1
OMA00281	1	1	1
OMA00282	1	1	1
OMA00283	1	1	1
OMA00284	1	1	1
OMA00285	1	0	1
OMA00286	1	1	1
OMA00287	1	1	1
OMA00288	1	1	1
OMA00289	1	1	1
OMA00290	1	1	1
OMA00291	1	0	1
OMA00292	1	1	1
OMA00293	0	1	1
OMA00294	1	1	1
OMA00295	1	1	1
OMA00296	1	1	1
OMA00297	1	0	1
OMA00298	1	1	1
OMA00299	1	1	1
OMA00300	1	1	1
OMA00301	1	1	1
OMA00302	1	1	1
OMA00303	1	1	1
OMA00304	1	0	1
OMA00305	1	1	1
OMA00306	0	1	1
OMA00307	1	1	1
OMA00308	1	1	1
OMA00309	1	1	1
OMA00310	1	1	1
OMA00311	1	1	1
OMA00312	1	1	1
OMA00313	1	1	1
OMA00314	1	0	1
OMA00315	1	1	1
OMA00316	1	1	1
OMA00317	1	1	1
OMA00318	1	1	1
OMA00319	1	1	1
OMA00320	1	1	1
OMA00321	1	1	1
OMA00322	1	1	1
OMA00323	1	1	1
OMA00324	1	1	1
OMA00325	1	1	1
OMA00326	1	1	1
OMA00327	1	1	1
OMA00328	1	1	1
OMA00329	1	1	1
OMA00330	1	1	1
OMA00331	1	0	1
OMA00332	1	1	1
OMA00333	1	1	1
OMA00334	1	0	1
OMA00335	1	1	1
OMA00336	1	0	1
OMA00337	1	1	1
OMA00338	1	1	1
OMA00339	1	1	1
OMA00340	1	1	1
OMA00341	1	1	1
OMA00342	1	1	1
OMA00343	1	1	1
OMA00344	1	1	1
OMA00345	1	1	1
OMA00346	1	0	1
OMA00347	1	0	1
OMA00348	1	1	1
OMA00349	1	1	1
OMA00350	1	0	1
OMA00351	1	1	1
OMA00352	1	1	1
OMA00353	1	1	1
OMA00354	1	1	1
OMA00355	1	0	1
OMA00356	1	1	1
OMA00357	1	0	1
OMA00358	1	1	1
OMA00359	1	1	1
OMA00360	1	1	1
OMA00361	1	1	1
OMA00362	1	1	1
OMA00363	1	1	1
OMA00364	1	0	1
OMA00365	1	1	1
OMA00366	1	1	1
OMA00367	1	1	1
OMA00368	1	1	1
OMA00369	1	1	1
OMA00370	1	1	1
OMA00371	1	1	1
OMA00372	1	1	1
OMA00373	1	1	1
OMA00374	1	1	1
OMA00375	1	0	1
OMA00376	1	1	1
OMA00377	1	1	1
OMA00378	1	1	1
OMA00379	1	1	1
OMA00380	1	1	1
OMA00381	1	1	1
OMA00382	1	1	1
OMA00383	1	0	1
OMA00384	1	0	1
OMA00385	1	1	1
OMA00386	1	0	1
OMA00387	1	0	1
OMA00388	1	1	1
OMA00389	1	1	1
OMA00390	1	1	1
OMA00391	1	0	1
OMA00392	1	0	1
OMA00393	1	0	1
OMA00394	1	1	1
OMA00395	1	1	1
OMA00396	1	1	1
OMA00397	1	1	1
OMA00398	1	1	1
OMA00399	1	0	1
OMA00400	1	1	1
OMA00401	1	1	1
OMA00402	1	1	1
OMA00403	1	1	1
OMA00404	1	1	1
OMA00405	1	1	1
OMA00406	1	1	1
OMA00407	1	1	1
OMA00408	1	1	1
OMA00409	1	1	1
OMA00410	1	1	1
OMA00411	1	1	1
OMA00412	1	1	1
OMA00413	1	1	1
OMA00414	1	1	1
OMA00415	1	1	1
OMA00416	1	1	1
OMA00417	1	1	1
OMA00418	1	1	1
OMA00419	1	1	1
OMA00420	1	1	1
OMA00421	1	0	1
OMA00422	1	1	1
OMA00423	1	1	1
OMA00424	1	1	1
OMA00425	1	0	1
OMA00426	1	1	1
OMA00427	1	1	1
OMA00428	1	1	1
OMA00429	1	1	1
OMA00430	1	1	1
OMA00431	1	1	1
OMA00432	1	0	1
OMA00433	1	0	1
OMA00434	1	1	1
OMA00435	1	1	1
OMA00436	1	1	1
OMA00437	1	1	1
OMA00438	1	1	1
OMA00439	1	1	1
OMA00440	1	1	1
OMA00441	1	1	1
OMA00442	1	1	1
OMA00443	1	0	1
OMA00444	1	0	1
OMA00445	1	1	1
OMA00446	1	1	1
OMA00447	1	1	1
OMA00448	1	1	1
OMA00449	1	1	1
OMA00450	1	0	1
OMA00451	1	1	1
OMA00452	1	1	1
OMA00453	1	1	1
OMA00454	1	1	1
OMA00455	1	1	1
OMA00456	1	1	1
OMA00457	1	1	1
OMA00458	1	1	1
OMA00459	1	1	1
OMA00460	1	0	1
OMA00461	1	1	1
OMA00462	1	0	1
OMA00463	1	1	1
OMA00464	1	0	1
OMA00465	1	1	1
OMA00466	1	1	1
OMA00467	1	1	1
OMA00468	1	1	1
OMA00469	1	1	1
OMA00470	1	1	1
OMA00471	1	1	1
OMA00472	1	1	1
OMA00473	1	1	1
OMA00474	1	1	1
OMA00475	1	1	1
OMA00476	1	0	1
OMA00477	1	1	1
OMA00478	1	1	1
OMA00479	1	1	1
OMA00480	1	1	1
OMA00481	1	1	1
OMA00482	1	1	1
OMA00483	1	0	1
OMA00484	1	1	1
OMA00485	1	1	1
OMA00486	1	1	1
OMA00487	1	1	1
OMA00488	1	1	1
OMA00489	1	1	1
OMA00490	1	1	1
OMA00491	1	1	1
OMA00492	1	1	1
OMA00493	1	1	1
OMA00494	1	1	1
OMA00495	1	1	1
OMA00496	1	1	1
OMA00497	1	0	1
OMA00498	1	1	1
OMA00499	1	1	1
OMA00500	1	1	1
OMA00501	1	1	1
OMA00502	1	1	1
OMA00503	1	1	1
OMA00504	1	1	1
OMA00505	1	1	1
OMA00506	1	0	1
OMA00507	1	0	1
OMA00508	1	1	1
OMA00509	1	0	1
OMA00510	1	1	1
OMA00511	1	1	1
OMA00512	1	1	1
OMA00513	1	1	1
OMA00514	1	1	1
OMA00515	1	0	1
OMA00516	1	1	1
OMA00517	1	1	1
OMA00518	1	1	1
OMA00519	1	1	1
OMA00520	1	1	1
OMA00521	1	1	1
OMA00522	1	1	1
OMA00523	1	0	1
OMA00524	1	0	1
OMA00525	1	1	1
OMA00526	1	1	1
OMA00527	1	1	1
OMA00528	1	1	1
OMA00529	1	1	1
OMA00530	1	0	1
OMA00531	1	1	1
OMA00532	1	1	1
OMA00533	1	1	1
OMA00534	1	1	1
OMA00535	1	1	1
OMA00536	1	1	1
OMA00537	1	1	1
OMA00538	1	1	1
OMA00539	1	1	1
OMA00540	1	1	1
OMA00541	1	1	1
OMA00542	1	0	1
OMA00543	1	0	1
OMA00544	1	0	1
OMA00545	1	1	1
OMA00546	1	0	1
OMA00547	1	1	1
OMA00548	1	1	1
OMA00549	1	1	1
OMA00550	1	0	1
OMA00551	1	1	1
OMA00552	1	0	1
OMA00553	1	1	1
OMA00554	1	1	1
OMA00555	1	1	1
OMA00556	1	1	1
OMA00557	1	1	1
OMA00558	1	1	1
OMA00559	1	1	1
OMA00560	1	1	1
OMA00561	1	1	1
OMA00562	1	1	1
OMA00563	1	0	1
OMA00564	1	1	1
OMA00565	1	1	1
OMA00566	1	1	1
OMA00567	1	1	1
OMA00568	1	1	1
OMA00569	1	1	1
OMA00570	1	0	1
OMA00571	1	1	1
OMA00572	1	1	1
OMA00573	1	1	1
OMA00574	1	0	1
OMA00575	1	1	1
OMA00576	1	1	1
OMA00577	1	1	1
OMA00578	1	1	1
OMA00579	1	1	1
OMA00580	1	1	1
OMA00581	1	1	1
OMA00582	1	1	1
OMA00583	1	1	1
OMA00584	1	1	1
OMA00585	1	1	1
OMA00586	1	1	1
OMA00587	1	1	1
OMA00588	1	1	1
OMA00589	1	1	1
OMA00590	1	1	1
OMA00591	1	0	1
OMA00592	1	0	1
OMA00593	1	1	1
OMA00594	1	1	1
OMA00595	1	1	1
OMA00596	1	1	1
OMA00597	1	1	1
OMA00598	1	1	1
OMA00599	1	1	1
OMA00600	1	1	1
OMA00601	1	1	1
OMA00602	1	1	1
OMA00603	1	0	1
OMA00604	1	1	1
OMA00605	1	1	1
OMA00606	1	1	1
OMA00607	1	1	1
OMA00608	1	1	1
OMA00609	1	1	1
OMA00610	1	1	1
OMA00611	1	1	1
OMA00612	1	1	1
OMA00613	1	1	1
OMA00614	1	1	1
OMA00615	1	1	1
OMA00616	1	0	1
OMA00617	1	1	1
OMA00618	1	1	1
OMA00619	1	0	1
OMA00620	1	1	1
OMA00621	1	1	1
OMA00622	1	1	1
OMA00623	1	1	1
OMA00624	1	1	1
OMA00625	1	1	1
OMA00626	1	1	1
OMA00627	1	1	1
OMA00628	1	1	1
OMA00629	1	1	1
OMA00630	1	1	1
OMA00631	1	0	1
OMA00632	1	1	1
OMA00633	1	1	1
OMA00634	1	1	1
OMA00635	1	1	1
OMA00636	1	1	1
OMA00637	1	0	1
OMA00638	1	1	1
OMA00639	1	0	1
OMA00640	1	1	1
OMA00641	1	0	1
OMA00642	1	1	1
OMA00643	1	1	1
OMA00644	1	0	1
OMA00645	1	1	1
OMA00646	1	0	1
OMA00647	1	0	1
OMA00648	1	0	1
OMA00649	1	1	1
OMA00650	1	1	1
OMA00651	1	1	1
OMA00652	1	1	1
OMA00653	1	1	1
OMA00654	1	1	1
OMA00655	1	1	1
OMA00656	1	0	1
OMA00657	1	0	1
OMA00658	1	0	1
OMA00659	1	1	1
OMA00660	1	1	1
OMA00661	1	1	1
OMA00662	1	1	1
OMA00663	1	1	1
OMA00664	1	1	1
OMA00665	1	1	1
OMA00666	1	1	1
OMA00667	1	1	1
OMA00668	1	0	1
OMA00669	1	1	1
OMA00670	1	1	1
OMA00671	1	1	1
OMA00672	1	1	1
OMA00673	1	1	1
OMA00674	1	1	1
OMA00675	1	1	1
OMA00676	1	1	1
OMA00677	1	1	1
OMA00678	1	1	1
OMA00679	1	0	1
OMA00680	1	0	1
OMA00681	1	0	1
OMA00682	1	0	1
OMA00683	1	1	1
OMA00684	1	1	1
OMA00685	1	0	1
OMA00686	1	1	1
OMA00687	1	1	1
OMA00688	1	1	1
OMA00689	1	1	1
OMA00690	1	1	1
OMA00691	1	1	1
OMA00692	1	1	1
OMA00693	1	1	1
OMA00694	1	1	1
OMA00695	1	1	1
OMA00696	1	0	1
OMA00697	1	1	1
OMA00698	1	1	1
OMA00699	1	1	1
OMA00700	1	1	1
OMA00701	1	1	1
OMA00702	1	1	1
OMA00703	1	1	1
OMA00704	1	1	1
OMA00705	1	0	1
OMA00706	1	1	1
OMA00707	1	1	1
OMA00708	1	1	1
OMA00709	1	1	1
OMA00710	1	1	1
OMA00711	1	1	1
OMA00712	1	1	1
OMA00713	1	1	1
OMA00714	1	1	1
OMA00715	1	1	1
OMA00716	1	1	1
OMA00717	1	1	1
OMA00718	1	1	1
OMA00719	1	1	1
OMA00720	1	1	1
OMA00721	1	1	1
OMA00722	1	0	1
OMA00723	1	1	1
OMA00724	1	1	1
OMA00725	1	1	1
OMA00726	1	0	1
OMA00727	1	1	1
OMA00728	1	1	1
OMA00729	1	0	1
OMA00730	1	1	1
OMA00731	1	1	1
OMA00732	1	1	1
OMA00733	1	1	1
OMA00734	1	0	1
OMA00735	1	0	1
OMA00736	1	1	1
OMA00737	1	1	1
OMA00738	1	0	1
OMA00739	1	0	1
OMA00740	1	1	1
OMA00741	1	0	1
OMA00742	1	1	1
OMA00743	1	1	1
OMA00744	1	1	1
OMA00745	1	0	1
OMA00746	1	1	1
OMA00747	1	1	1
OMA00748	1	1	1
OMA00749	1	1	1
OMA00750	1	1	1
OMA00751	1	1	1
OMA00752	1	1	1
OMA00753	1	1	1
OMA00754	1	0	1
OMA00755	1	1	1
OMA00756	1	0	1
OMA00757	1	1	1
OMA00758	1	1	1
OMA00759	1	1	1
OMA00760	1	0	1
OMA00761	1	1	1
OMA00762	1	1	1
OMA00763	1	1	1
OMA00764	1	1	1
OMA00765	1	1	1
OMA00766	1	1	1
OMA00767	1	1	1
OMA00768	1	1	1
OMA00769	1	1	1
OMA00770	1	1	1
OMA00771	1	1	1
OMA00772	1	1	1
OMA00773	1	1	1
OMA00774	1	1	1
OMA00775	1	1	1
OMA00776	1	1	1
OMA00777	1	1	1
OMA00778	1	1	1
OMA00779	1	1	1
OMA00780	1	1	1
OMA00781	1	0	1
OMA00782	1	1	1
OMA00783	1	1	1
OMA00784	1	1	1
OMA00785	1	0	1
OMA00786	1	0	1
OMA00787	1	1	1
OMA00788	1	1	1
OMA00789	1	1	1
OMA00790	1	1	1
OMA00791	1	1	1
OMA00792	1	1	1
OMA00793	1	1	1
OMA00794	1	1	1
OMA00795	1	1	1
OMA00796	1	0	1
OMA00797	1	0	1
OMA00798	1	1	1
OMA00799	1	0	1
OMA00800	1	1	1
OMA00801	1	1	1
OMA00802	1	0	1
OMA00803	1	1	1
OMA00804	1	1	1
OMA00805	1	0	1
OMA00806	1	0	1
OMA00807	1	1	1
OMA00808	1	0	1
OMA00809	1	1	1
OMA00810	1	1	1
OMA00811	1	1	1
OMA00812	1	0	1
OMA00813	1	1	1
OMA00814	1	1	1
OMA00815	1	1	1
OMA00816	1	1	1
OMA00817	1	1	1
OMA00818	1	1	1
OMA00819	1	0	1
OMA00820	1	0	1
OMA00821	1	1	1
OMA00822	1	1	1
OMA00823	1	0	1
OMA00824	1	0	1
OMA00825	1	1	1
OMA00826	1	1	1
OMA00827	1	1	1
OMA00828	1	1	1
OMA00829	1	0	1
OMA00830	1	1	1
OMA00831	1	1	1
OMA00832	1	1	1
OMA00833	1	1	1
OMA00834	1	1	1
OMA00835	1	1	1
OMA00836	1	1	1
OMA00837	1	1	1
OMA00838	1	1	1
OMA00839	1	1	1
OMA00840	1	0	1
OMA00841	1	0	1
OMA00842	1	1	1
OMA00843	1	1	1
OMA00844	1	1	1
OMA00845	1	0	1
OMA00846	1	0	1
OMA00847	1	1	1
OMA00848	1	1	1
OMA00849	1	1	1
OMA00850	1	1	1
OMA00851	1	1	1
OMA00852	1	1	1
OMA00853	1	0	1
OMA00854	1	1	1
OMA00855	1	1	1
OMA00856	1	1	1
OMA00857	1	1	1
OMA00858	1	1	1
OMA00859	1	1	1
OMA00860	1	1	1
OMA00861	1	1	1
OMA00862	1	1	1
OMA00863	1	1	1
OMA00864	1	1	1
OMA00865	1	1	1
OMA00866	1	0	1
OMA00867	1	1	1
OMA00868	1	1	1
OMA00869	1	1	1
OMA00870	1	0	1
OMA00871	1	1	1
OMA00872	1	1	1
OMA00873	1	1	1
OMA00874	1	1	1
OMA00875	1	1	1
OMA00876	1	1	1
OMA00877	1	1	1
OMA00878	1	1	1
OMA00879	1	0	1
OMA00880	1	0	1
OMA00881	1	1	1
OMA00882	1	1	1
OMA00883	1	1	1
OMA00884	1	1	1
OMA00885	1	1	1
OMA00886	1	0	1
OMA00887	1	1	1
OMA00888	1	1	1
OMA00889	1	1	1
OMA00890	1	1	1
OMA00891	1	1	1
OMA00892	1	1	1
OMA00893	1	1	1
OMA00894	1	1	1
OMA00895	1	1	1
OMA00896	1	1	1
OMA00897	1	1	1
OMA00898	1	0	1
OMA00899	1	1	1
OMA00900	1	0	1
OMA00901	1	0	1
OMA00902	1	1	1
OMA00903	1	1	1
OMA00904	1	1	1
OMA00905	1	1	1
OMA00906	1	0	1
OMA00907	1	1	1
OMA00908	1	1	1
OMA00909	1	0	1
OMA00910	1	1	1
OMA00911	1	1	1
OMA00912	1	1	1
OMA00913	1	1	1
OMA00914	1	0	1
OMA00915	1	1	1
OMA00916	1	1	1
OMA00917	1	1	1
OMA00918	1	1	1
OMA00919	1	1	1
OMA00920	1	1	1
OMA00921	1	1	1
OMA00922	1	1	1
OMA00923	1	1	1
OMA00924	1	1	1
OMA00925	1	0	1
OMA00926	1	1	1
OMA00927	1	1	1
OMA00928	1	1	1
OMA00929	1	1	1
OMA00930	1	1	1
OMA00931	1	1	1
OMA00932	1	1	1
OMA00933	1	0	1
OMA00934	1	1	1
OMA00935	1	1	1
OMA00936	1	0	1
OMA00937	1	1	1
OMA00938	1	1	1
OMA00939	1	1	1
OMA00940	1	1	1
OMA00941	1	1	1
OMA00942	1	1	1
OMA00943	1	0	1
OMA00944	1	1	1
OMA00945	1	1	1
OMA00946	1	1	1
OMA00947	1	1	1
OMA00948	1	1	1
OMA00949	1	1	1
OMA00950	1	0	1
OMA00951	1	1	1
OMA00952	1	1	1
OMA00953	1	0	1
OMA00954	1	1	1
OMA00955	1	1	1
OMA00956	1	1	1
OMA00957	1	0	1
OMA00958	1	1	1
OMA00959	1	1	1
OMA00960	1	1	1
OMA00961	1	1	1
OMA00962	1	1	1
OMA00963	1	0	1
OMA00964	1	1	1
OMA00965	1	1	1
OMA00966	1	1	1
OMA00967	1	1	1
OMA00968	1	1	1
OMA00969	1	1	1
OMA00970	1	1	1
OMA00971	1	1	1
OMA00972	1	0	1
OMA00973	1	1	1
OMA00974	1	0	1
OMA00975	1	1	1
OMA00976	1	1	1
OMA00977	1	1	1
OMA00978	1	1	1
OMA00979	1	0	1
OMA00980	1	0	1
OMA00981	1	1	1
OMA00982	0	1	1
OMA00983	1	1	1
OMA00984	1	1	1
OMA00985	1	1	1
OMA00986	1	1	1
OMA00987	1	1	1
OMA00988	1	1	1
OMA00989	1	1	1
OMA00990	1	0	1
OMA00991	1	1	1
OMA00992	1	1	1
OMA00993	1	1	1
OMA00994	1	1	1
OMA00995	1	1	1
OMA00996	1	1	1
OMA00997	1	0	1
OMA00998	1	1	1
OMA00999	1	1	1
OMA01000	1	0	1
OMA01001	1	1	1
OMA01002	1	0	1
OMA01003	1	1	1
OMA01004	1	1	1
OMA01005	1	1	1
OMA01006	1	1	1
OMA01007	1	1	1
OMA01008	1	1	1
OMA01009	1	0	1
OMA01010	1	0	1
OMA01011	1	1	1
OMA01012	1	1	1
OMA01013	1	1	1
OMA01014	1	0	1
OMA01015	1	1	1
OMA01016	1	1	1
OMA01017	1	1	1
OMA01018	1	1	1
OMA01019	1	1	1
OMA01020	1	1	1
OMA01021	1	1	1
OMA01022	1	1	1
OMA01023	1	1	1
OMA01024	1	0	1
OMA01025	1	1	1
OMA01026	1	1	1
OMA01027	1	0	1
OMA01028	1	1	1
OMA01029	1	0	1
OMA01030	1	0	1
OMA01031	1	0	1
OMA01032	1	1	1
OMA01033	1	1	1
OMA01034	1	1	1
OMA01035	1	1	1
OMA01036	1	1	1
OMA01037	1	1	1
OMA01038	1	1	1
OMA01039	1	1	1
OMA01040	1	1	1
OMA01041	1	1	1
OMA01042	1	1	1
OMA01043	1	1	1
OMA01044	1	1	1
OMA01045	1	0	1
OMA01046	1	1	1
OMA01047	1	0	1
OMA01048	1	0	1
OMA01049	1	0	1
OMA01050	1	1	1
OMA01051	1	1	1
OMA01052	1	1	1
OMA01053	1	0	1
OMA01054	1	1	1
OMA01055	1	0	1
OMA01056	1	1	1
OMA01057	1	1	1
OMA01058	1	0	1
OMA01059	1	1	1
OMA01060	1	1	1
OMA01061	1	1	1
OMA01062	1	1	1
OMA01063	1	0	1
OMA01064	1	1	1
OMA01065	1	0	1
OMA01066	1	0	1
OMA01067	1	1	1
OMA01068	1	1	1
OMA01069	1	0	1
OMA01070	1	1	1
OMA01071	1	1	1
OMA01072	1	1	1
OMA01073	1	1	1
OMA01074	1	1	1
OMA01075	1	0	1
OMA01076	1	0	1
OMA01077	1	1	1
OMA01078	1	1	1
OMA01079	1	1	1
OMA01080	1	1	1
OMA01081	1	1	1
OMA01082	1	1	1
OMA01083	1	1	1
OMA01084	1	1	1
OMA01085	1	1	1
OMA01086	1	1	1
OMA01087	1	1	1
OMA01088	1	1	1
OMA01089	1	0	1
OMA01090	1	1	1
OMA01091	1	0	1
OMA01092	1	1	1
OMA01093	1	1	1
OMA01094	1	1	1
OMA01095	1	1	1
OMA01096	1	1	1
OMA01097	1	0	1
OMA01098	1	1	1
OMA01099	1	1	1
OMA01100	1	1	1
OMA01101	1	1	1
OMA01102	1	1	1
OMA01103	1	0	1
OMA01104	1	1	1
OMA01105	1	1	1
OMA01106	1	1	1
OMA01107	1	1	1
OMA01108	1	0	1
OMA01109	0	1	1
OMA01110	1	1	1
OMA01111	1	1	1
OMA01112	1	1	1
OMA01113	1	1	1
OMA01114	1	1	1
OMA01115	1	1	1
OMA01116	0	1	1
OMA01117	1	1	1
OMA01118	1	1	1
OMA01119	1	0	1
OMA01120	1	1	1
OMA01121	0	1	1
OMA01122	1	1	1
OMA01123	1	1	1
OMA01124	1	0	1
OMA01125	1	1	1
OMA01126	1	1	1
OMA01127	1	0	1
OMA01128	1	1	1
OMA01129	1	1	1
OMA01130	1	0	1
OMA01131	0	1	1
OMA01132	1	1	1
OMA01133	1	1	1
OMA01134	1	0	1
OMA01135	1	1	1
OMA01136	1	1	1
OMA01137	1	1	1
OMA01138	1	0	1
OMA01139	1	1	1
OMA01140	1	1	1
OMA01141	1	0	1
OMA01142	1	1	1
OMA01143	1	1	1
OMA01144	1	1	1
OMA01145	1	1	0
OMA01146	1	0	1
OMA01147	1	1	1
