# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Bovismorbificans_CVM_30176	ECOLI	SALTY
3779	2552	2735
2782	3637	3857
1235	2512	2693
947	240	2274
427	1966	2055
774	1516	1412
3596	1611	1293
3789	2593	2829
179	3492	3710
4091	1742	1788
3735	0	2277
4219	0	971
1242	0	2593
3623	0	1495
4293	138	183
2585	2770	2980
1987	0	2684
1605	3310	3692
123	1917	2007
1754	531	554
3435	70	110
11	3635	3856
1896	3449	3621
2235	3792	4068
3495	485	526
2005	3458	3657
3690	1934	2029
2190	0	2315
229	1828	2672
1871	1247	1625
2487	2321	2373
4188	1581	1325
3975	3986	4249
251	3646	3870
60	1150	1703
2171	2116	2200
4265	0	1878
1850	3576	3792
4248	3577	3823
4001	4136	4417
2222	107	149
3227	1970	2061
3631	1362	1538
612	3384	3554
1066	367	389
1024	1060	1184
3689	1930	2025
1343	3680	3911
354	3446	3618
1444	2637	2863
40	1507	1422
3142	2890	3105
2551	2317	2369
1208	0	4296
450	1829	1894
2175	2455	2561
577	3523	3736
3677	0	1977
1471	200	252
605	1385	1517
3710	0	2122
1984	1967	2056
3491	471	512
1921	150	202
4142	3762	4014
1473	0	2716
2500	0	1347
1537	3088	3286
3961	3875	4135
1166	0	3146
3427	0	42
2258	1718	1762
3153	0	2259
1002	1510	1419
1708	2307	2368
3797	2631	2857
3977	0	4259
332	2629	2855
3119	1900	1994
2344	1633	1268
2015	3063	3263
1432	1720	1764
2744	1570	1370
542	1434	1466
2946	3203	3375
1634	0	1961
164	3574	3790
3562	0	1062
885	3168	3352
2375	4126	4407
1063	3621	3841
984	0	854
1099	2475	2581
3438	102	142
2133	3521	3733
2201	578	613
2876	3727	3975
213	1641	1261
1121	1956	2051
1440	2639	2865
670	1842	1906
1789	2161	2241
2685	3358	3532
643	2983	3175
1940	3988	4271
756	3481	3699
73	1342	1565
2135	3973	4240
202	826	931
2174	170	222
924	1665	1247
3724	2137	2222
2311	0	3652
490	3292	3469
1425	2927	3127
215	770	823
295	0	2191
1729	0	3918
3752	2377	2421
336	2931	3130
596	325	2105
304	3889	2467
283	3871	4131
664	2630	2856
2326	392	425
1356	2657	2883
1737	2844	3066
2268	0	3006
3236	0	4096
2046	3879	4138
3169	0	3729
4069	1269	1596
21	732	792
925	0	2008
2599	3099	3297
734	1865	1050
3307	0	1315
553	0	56
118	635	679
3344	0	4350
3063	856	960
1436	2423	2471
689	2446	2552
4018	0	2124
1060	2926	3126
4090	1735	1781
1441	83	123
2098	4137	4418
4027	3497	3715
3125	3505	3722
2533	0	3569
4047	0	4095
3691	1935	2030
1434	3247	3429
3465	0	326
2314	0	3662
3400	3699	3944
3109	2219	2308
1749	2910	3022
2169	3459	3658
4127	0	1638
3646	1185	1666
423	3779	4057
760	3226	3408
1588	3043	3231
3842	2986	3178
1289	2142	2227
1135	4119	4396
330	3820	4105
4192	2295	2479
4173	1763	1829
3602	0	1326
388	0	2016
690	1688	1232
3589	1649	1254
1106	4046	1555
1184	0	3471
2658	0	2703
2537	1228	3016
595	2738	2947
2636	3214	3386
1958	3770	4021
458	366	388
3498	279	550
171	0	668
1509	2296	2387
2966	1271	973
1032	2237	3675
1256	2236	3674
1752	662	709
3249	682	727
325	3231	3413
2021	827	932
2648	2717	3504
661	1038	1163
1079	2638	2864
2627	4016	4314
3576	0	1180
635	709	765
3653	1113	1741
1648	3087	3285
1952	0	2789
1792	52	91
2272	2403	2462
2626	3799	4075
2828	1740	1786
1772	3833	4120
2040	365	387
1778	85	125
3490	470	511
3679	0	1979
2631	0	1534
1226	3933	4199
1155	472	513
2684	3315	3481
1960	1982	2067
1112	2925	3125
1320	0	3905
3507	560	591
2542	707	759
1820	2457	2563
414	2391	2445
1456	3894	4161
1415	3763	4015
104	2621	2847
3967	3925	4191
3456	182	235
509	1543	1394
1865	4094	1485
3173	0	1733
1100	3929	4195
4187	0	1362
3560	0	1056
3272	756	812
850	884	1019
49	1874	211
2426	2791	3002
4110	0	4079
2811	401	437
3831	2872	3090
3826	0	3059
169	2677	2904
1533	416	453
2567	2382	2431
1304	4025	1086
184	0	3704
88	2122	2207
442	3365	3536
1205	2271	2331
4093	1979	3143
1959	3320	3486
139	3561	3777
3796	2627	2852
2928	2217	2306
3928	3672	3899
1974	3764	4016
2506	0	4097
3345	4	4
4164	1108	1929
1175	478	519
572	223	309
3880	3331	3498
3848	309	3217
2191	2028	2113
4267	0	37
3611	1514	1414
1709	1932	2027
3876	0	3467
4032	3426	3595
3277	3187	3359
3889	3371	3543
1354	91	131
1654	938	1072
1809	3250	3434
3738	0	2312
1062	1065	1190
400	403	439
2545	2511	2692
606	2365	2406
3598	1604	1300
2440	3563	3779
824	0	345
3551	842	946
3774	2509	2690
4325	0	1723
277	1500	1428
1480	724	784
3060	42	76
1043	0	3239
3684	1908	1998
4119	2420	2464
4235	3406	3576
3736	2192	2282
2386	4079	4347
2635	0	1572
1360	475	516
4312	3930	4196
2700	532	555
521	1134	1715
3925	3649	3873
2226	1410	36
1500	2118	2202
899	2999	3190
3744	0	2346
35	2656	2882
4014	0	741
4092	4127	4408
2904	86	126
3504	541	572
505	1047	1171
3442	0	161
4280	0	3234
1574	1485	1447
0	642	685
4294	2477	2583
151	3572	3788
3600	1586	1319
3903	3479	3683
3788	2579	2812
126	1024	1149
2349	37	71
998	0	4299
1476	566	601
4154	3897	4164
33	3567	3783
105	2684	2913
441	1585	1320
217	2167	2248
3922	0	3864
905	1056	1179
1846	4120	4397
1211	0	50
3453	149	201
3523	0	739
3832	2874	3092
3988	4080	4348
574	3159	3343
3706	2027	2112
405	2263	2324
1262	2701	970
4259	0	317
1854	0	2516
1720	2398	2452
725	2906	3112
1518	1963	2052
3978	0	4267
2379	2469	2576
1961	587	623
4214	1496	1432
435	901	1036
979	762	817
3719	2123	2208
1118	2261	2320
743	125	178
2877	932	3695
19	0	509
4095	308	3216
1204	2318	2370
1502	0	3419
1848	2200	2295
1124	0	1329
2071	0	2779
623	0	4245
2688	2743	2951
3053	2119	2203
273	1943	2038
2789	2736	2945
3128	1834	1899
280	994	1119
4190	1596	1308
1555	1937	2032
1843	4065	3023
566	620	661
2470	4008	4306
2938	443	482
1829	167	219
3681	0	1983
3244	3579	3793
1068	0	371
4169	0	1487
4136	0	1235
2761	777	837
585	865	972
700	1498	1430
2241	0	3705
3692	1944	2039
3518	0	646
4309	548	579
651	1184	1667
1116	0	2314
3114	1045	1169
2037	226	313
4086	2064	2146
181	1652	1251
842	0	1342
600	774	834
230	0	1893
1571	0	2190
2862	363	385
1058	2855	3076
3705	0	2101
930	2264	2325
2283	2526	2709
3837	2930	3129
3864	3190	3362
149	3432	3601
3819	0	3011
3893	0	3568
219	982	1107
303	668	716
399	2827	3049
4254	3267	3453
1109	862	966
881	1527	1498
1780	1595	1309
3732	2173	2254
679	780	839
1283	2051	2133
4213	1567	1373
51	2818	3036
1077	0	2769
3894	3410	3580
1489	0	1892
96	3138	3987
1982	1931	2026
1096	3362	3533
1545	3790	4066
302	1568	1372
2388	0	553
3799	2652	2877
4165	101	141
1352	3398	3565
2335	3454	3646
915	550	581
4121	0	760
3552	850	954
1511	2993	3185
3721	2125	2210
3302	3284	3460
3540	0	828
0	3536	3749
2396	427	465
3403	1896	1988
1156	3809	4085
3645	1205	1649
2012	2421	2465
882	1600	1304
0	441	480
2754	2380	2429
3765	3338	2483
3224	0	975
1879	3466	3671
0	3220	3395
4058	1815	1875
1052	3619	3839
3661	0	1850
559	3164	3348
2679	2319	2371
498	0	2712
3970	3942	4209
2474	1443	1458
3787	0	2806
0	2251	2318
7	2385	2434
1568	3482	3700
1490	0	2197
1569	1916	2006
1108	3445	3617
1447	1844	1908
2905	0	2676
2460	2769	2979
2918	558	589
2948	0	341
3841	2972	3165
880	38	72
557	617	657
145	3992	0
470	0	498
3803	2674	2900
3566	977	1102
1791	3724	3972
2120	157	209
2642	0	3956
522	1756	1822
3470	305	358
1495	2683	2910
611	2464	2571
848	2112	2195
2899	1351	1547
30	1005	1130
3522	675	720
2423	669	717
3616	1437	1464
2579	0	4261
3609	1518	1410
720	4075	4346
3007	2532	2714
1501	371	394
3814	2737	2946
2254	1949	2044
1524	18	39
1827	0	669
1779	1788	1853
393	2199	2289
2248	0	4246
3583	1695	1226
2425	692	747
3288	3922	4188
63	2901	3107
2686	794	853
3906	3501	3718
2325	790	849
1229	2643	0
3018	2339	2392
4307	832	936
3520	621	662
1365	0	1433
1238	1055	1178
2741	2404	2463
602	3707	3953
2198	0	3584
3577	1057	1181
1633	176	228
3858	3072	3273
1221	4053	1084
3029	2129	2214
343	2755	2958
444	2820	3038
1672	361	383
39	2641	2867
2548	2782	2993
1363	0	3585
1110	92	132
143	1940	2035
131	728	788
4239	0	2595
1972	2094	2185
1973	3566	3782
3914	3580	3794
3709	2033	2118
4076	2012	2090
1088	0	1209
371	711	767
4324	905	1724
2796	0	1481
2662	544	575
1401	3571	3787
2602	14	13
4132	681	726
701	2465	2573
4020	3392	3557
1098	0	4278
3076	0	1958
2835	2571	2752
0	1638	1264
3927	3382	3897
1553	2197	2287
2026	912	1731
4315	3041	3229
2861	0	2674
1575	473	514
3896	3424	3593
2291	4026	1087
2571	1710	1755
2151	0	3505
1577	2937	3133
563	3732	3980
2416	2648	2873
3458	1563	249
3942	3748	4000
3502	536	569
2336	1997	2079
1153	352	374
3358	4071	4343
385	789	848
1119	727	787
1373	31	65
1402	0	2792
1578	0	2854
1888	343	364
15	1062	1186
3825	2830	3052
404	589	625
2660	0	4279
1712	3564	3780
3780	2553	2736
148	753	807
746	1593	1311
1517	2655	2881
545	3791	4067
2839	3279	3457
1787	3229	3411
1282	2383	2432
3637	328	1568
1897	1546	1391
2687	379	405
3879	3323	3489
1862	3252	3436
147	3948	4215
2821	813	912
2117	242	417
2246	0	1482
380	3084	3282
68	2288	2351
629	0	420
3734	0	2275
928	3713	3961
3354	0	4039
4163	2050	2132
3813	2735	2944
443	4048	1553
4283	2721	2930
3569	988	1113
2252	863	967
4114	881	1016
1316	0	2017
3391	588	624
3579	0	1191
1510	3491	3709
2695	463	502
1962	2115	2199
3050	225	312
101	2754	2957
1188	2060	2142
4157	0	1598
2244	2790	3001
1811	1135	1714
2767	4013	4312
1773	875	173
2206	84	124
1349	4012	4311
1194	1127	1722
2092	2206	2301
3117	1009	1134
3160	71	111
2677	3808	4084
3550	841	945
3474	345	366
731	0	3672
569	0	3638
3475	348	369
2081	2956	3509
1115	575	610
455	1143	1709
1530	3421	3590
2729	2466	2574
4338	2584	2820
2351	0	1475
232	1910	2000
2838	3153	3337
2068	3244	3426
3968	0	4205
2352	557	588
4327	0	1513
4074	1928	2023
1665	2303	2364
3175	3254	3439
1236	4114	4391
183	3490	3708
773	0	3402
1133	2543	2726
45	87	127
4071	0	1612
2831	3868	4128
4193	0	3176
3678	0	1978
3652	1114	1740
2818	1894	1986
2035	2361	2402
3912	3573	3789
0	344	365
3528	693	748
1055	3188	3360
2739	0	630
3607	1556	1381
4313	3716	3964
1718	2527	2710
2509	1609	1295
115	3919	4185
2874	217	305
3069	0	2104
1681	1052	1174
293	0	2782
662	0	4382
1861	3568	3784
3071	0	1369
3685	1909	1999
2282	0	2457
3483	0	448
2033	700	756
906	3281	3459
267	710	766
2124	691	746
4002	0	4419
593	3565	3781
416	2587	2823
3190	1019	1144
1554	3413	3582
1182	3044	3232
3807	0	2917
103	1791	1856
4083	0	3030
2504	3256	3441
2409	224	311
2205	2541	2724
4082	481	522
3093	1368	1530
3818	2788	2999
3993	0	4370
2572	689	734
1781	3408	3578
3319	891	1026
1279	1371	1527
1748	2093	2184
3080	1248	1624
396	1981	2066
2556	0	1954
2845	100	140
2308	2451	2557
1805	3058	3256
3492	476	517
3568	984	1109
447	3638	3858
1474	3409	3579
426	3756	4008
1849	0	4045
3580	0	1201
1170	1256	1604
584	3314	3480
2969	1651	1252
1626	0	4266
3790	2595	2831
583	1565	1375
684	2756	2959
1514	3178	3422
4151	2092	2183
2355	615	655
194	3676	3903
1580	0	3891
3294	0	1490
460	0	1331
3081	1668	1245
547	3268	3454
1232	1036	1161
3668	1881	1942
1296	2673	2899
718	1536	1401
4065	685	730
4021	1195	1657
2986	2332	2385
2313	1529	1407
3526	4031	743
3839	1976	3147
3478	370	393
2763	0	57
2079	3059	3257
80	0	2262
2661	173	225
1159	3601	3818
1909	3702	3947
1564	0	3470
1975	803	903
3312	3425	3594
2972	694	749
3309	0	2680
616	2676	2902
847	2345	2397
268	1425	3930
65	0	2459
4277	2073	3684
2143	3335	3502
2050	3171	4371
259	3420	3589
1976	3519	3728
4270	0	2062
429	2039	2128
2126	0	2778
652	4123	4404
3514	599	640
753	2783	2994
390	991	1116
519	0	4258
1901	1484	1448
2655	2061	2143
2075	1423	3928
2149	3902	4169
3313	2367	2408
469	4020	4318
3708	2032	2117
3387	194	245
2595	1506	1423
176	1168	1684
2540	0	4339
3870	3235	3417
316	3332	3499
985	0	3998
497	3183	3355
2454	0	2683
1413	2904	3110
2490	3401	3571
3619	1678	1484
1983	3368	3539
1944	4096	2971
594	1159	1694
4140	595	632
3935	0	3920
2993	4107	4384
1014	2969	3160
2505	2819	3037
315	4005	4301
669	0	3661
467	0	350
1189	1846	1910
1602	1868	3260
4263	0	3866
834	879	1014
1463	2822	2322
1690	77	117
3634	1347	1550
2273	2278	2338
617	0	1496
1327	0	500
3982	0	4297
916	0	4037
3468	0	352
319	0	2970
1842	702	758
2502	0	1927
1943	3985	4248
1324	1767	1833
0	44	78
2628	1218	1635
2303	1169	1683
1733	0	418
2917	4015	4313
1285	2198	2288
1847	1583	1322
2528	2384	2433
1699	1992	2074
2731	1671	1242
3835	2919	3120
1988	1028	1153
1467	1983	2068
3352	657	708
917	0	2231
3985	4018	4316
1617	3233	3415
1073	1762	1828
2882	3931	4197
228	2460	2567
3003	2029	2114
3626	1391	1508
932	3419	3588
3887	3354	3529
3065	2196	2286
2137	3725	3973
368	2159	2239
3940	3735	3983
3423	0	24
697	3544	3757
3713	2068	2151
3775	2528	2711
3748	2324	2376
16	3913	4180
472	1683	1238
3571	1026	1151
1646	730	790
2936	3693	3938
3953	3804	4080
2300	2508	2689
2317	3628	3848
1318	805	905
4256	0	3473
1190	0	2787
76	0	147
1801	440	479
1783	0	3057
3833	2882	3096
1094	2130	2215
3707	2031	2116
510	2055	2137
2808	3333	3500
730	0	1359
968	1268	1597
3	2438	2491
1273	2932	3131
4141	2971	3162
1700	2275	2335
117	583	619
2266	1424	3929
3595	1619	1285
2444	2777	2988
2374	0	1976
3933	3685	3916
4317	2784	2995
238	2583	2819
1688	1301	1588
2403	1939	2034
3534	716	774
2716	3094	3292
2822	930	3697
201	1840	1904
4153	317	3567
341	0	2460
2082	65	107
2857	3067	3267
1230	3219	3393
2924	0	30
3844	3007	3198
4268	0	738
4212	0	1008
4329	2556	2903
1075	0	162
1963	2878	322
4059	3701	3946
589	0	1449
3909	3535	3748
1655	3502	3719
1315	1528	1408
1647	0	2686
1308	849	953
3315	807	907
3575	0	1176
4201	0	4491
966	735	794
401	339	361
827	2291	2354
2645	3407	3577
132	374	397
1992	2728	2937
1347	1220	1633
2457	0	1336
3195	0	1205
1362	3684	3915
3042	584	620
2134	3918	4184
3547	0	940
2630	723	783
3136	812	911
2640	4125	4406
1703	3372	3544
1141	546	577
1723	1198	1654
331	3874	4134
1732	2525	2708
4310	397	433
2418	0	1276
2189	1616	1288
1430	3965	4233
1830	2441	2547
1329	3604	3821
1833	0	3907
2555	2905	3111
2964	1259	1602
3660	1779	1845
3019	547	578
2589	74	114
4094	2997	3188
3664	1824	1888
2933	439	478
1151	1042	1167
3739	2260	2319
4081	0	2840
2223	0	296
1252	822	927
3497	492	536
2395	0	3421
165	179	231
106	2280	2340
726	3806	4082
1635	3518	3727
0	3645	3869
796	0	4047
3102	3657	3881
3606	0	1365
2166	3592	3809
1367	2774	2984
2762	3993	4287
463	1723	1768
789	1566	1374
2345	1984	2069
2109	3006	3197
3240	2207	2302
3687	1915	2005
72	3737	3985
2077	2016	2094
609	2545	2728
2753	3021	3212
567	4090	4361
398	8	7
830	0	3506
320	791	850
3043	1421	3926
3847	3029	3215
1923	1015	1139
3884	3344	3518
2725	28	49
2614	3768	4019
1039	0	2770
2869	1012	1137
2144	1764	1830
3480	384	410
3675	0	1960
264	2978	3170
3725	2138	2223
3642	1251	1621
83	3660	3886
1657	2182	3636
282	51	90
3107	1131	1718
3838	0	3137
495	983	1108
1353	3412	3581
1390	2166	2247
936	2222	2310
1339	1010	1135
911	3389	0
663	3541	3754
